AVI CABINET B,,,,,,,,
SHELF B1,,,SHELF B2,,,SHELF B3,,
DESCRIPTION,PART NUMBER,QTY,DESCRIPTION,PART NUMBER,QTY,DESCRIPTION,PART NUMBER,QTY
TNC 90 (RG 393),082-4440,4,15P HD FEM CONN,M24308/2-11Z,12,50P DSUB MALE CONN,M24308/4-5F,5
N TYPE TO BNC,031-216,2,15P DSUB FEM CONN,205205-7,13,62P HD FEM CONN,1656183,7
BNC ST (RG-58),5225396-1,3,15P DSUB MALE CONN,205205-9,19,25P DSUB FEM CONN,5205207-1,3
MALE (RG-179/174),1703-1571-003,8,25P DSUB MALE CONN,MS24308/4-8,20,26P HD FEM CONN,1658682-1 ,5
75 OHM (RG-179/174),1702-1571-003,8,37P DSUB FEM CONN,TYCM24308/2-4Z,13,CONNECTOR,MRAC50SGHVL2,4
SMC PLUG,110285,1,37P DSUB MALE CONN,M24308/4-4Z,8,15P SLDR FEM CONN,706-164A18179X,1
9P DSUB FEM CONN,205203-3,8,,,,15P SLDR MALE CONN,10090926-P154VLF,9
9P DSUB MALE CONN,205204-4,9,,,,37P SLDR MALE CONN,5-747916-2,8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SHELF B4,,,SHELF B5,,,SHELF B6,,
DESCRIPTION,PART NUMBER,QTY,DESCRIPTION,PART NUMBER,QTY,DESCRIPTION,PART NUMBER,QTY
50P DSUB FEM CONN,M24308/2-5Z,8,25POS BACKSHELL,5205718-1,24,RJ 45 PLUG,110339,21
62P SLDR FEM CONN,D3E62STS,5,37POS BACKSHELL,5205731-1,55,RJ 45 LOCKDOWN,RJ45LBN,1
62P SLDR MALE CONN,D3262PTES,4,50 POS BACKSHELL,5205732-1,23,15P/26P BACKSHELL,DA-24658,8
9POS BACKSHELL,5205729-1,54,62 POS BACKSHELL,17E-1727-1,8,SLIDE LATCH CLIP,5206942-1,176
15POS BACKSHELL,5205730-1,15,,,,WINCHESTER HDW,MREV,0
44P HD MALE CONN,M24308/4-13F,2,,,,"CLIP, RETAINER",5205980-1,4
9POS BACKSHELL,5206478-1,2,,,,BACKSHELL,206-928-012,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SHELF B7,,,SHELF B8,,,,,
DESCRIPTION,PART NUMBER,QTY,DESCRIPTION,PART NUMBER,QTY,,,
SCREW/NUT,M24308/826-1F,21,MOLEX SOCKET,02-09-1104,MANY,,,
DOG EARS SCREW LK,M24308/25-9F,92,MOLEX PIN,02-09-2103,MANY,,,
SCREW LOCK,M24308/25-6P,15,2P MOLEX MALE CONN,03-09-2022,MANY,,,
DOG EARS SCREW LK,M24308/25-10F,34,2P MOLEX FEM CONN,03-09-1022,MANY,,,
SCREW LOCK,5205980-1,10,4P MOLEX FEM CONN,03-09-1042,MANY,,,
9P DSUB COVER,L17D4K63009,11,4P MOLEX MALE CONN,03-09-2042,MANY,,,
9POS BACKSHELL,17E-1724-1,2,3P MOLEX FEM CONN,03-09-1032,MANY,,,
USB CONN KIT,9017960,4,3P MOLEX MALE CONN,03-09-2032,MANY,,,
,,,2P MOLEX MALE CONN,03-06-2023,MANY,,,
,,,2P MOLEX MALE CONN,03-06-2024,MANY,,,
,,,2P MOLEX FEM CONN,03-06-1023,MANY,,,
,,,3P MOLEX FEM CONN,03-06-2032,MANY,,,
,,,3P MOLEX MALE CONN,03-06-1032,MANY,,,
,,,BNC 90 (RG-142),RFB1110-C1,13,,,
,,,,,,,,
,,,,,,,,
